Id,y
2000,1
2001,2
2002,0
2003,1
2004,2
2005,2
2006,0
2007,2
2008,2
2009,1
2010,2
2011,2
2012,1
2013,1
2014,1
2015,1
2016,1
2017,1
2018,1
2019,2
2020,2
2021,0
2022,0
2023,1
2024,1
2025,2
2026,0
2027,2
2028,1
2029,2
2030,2
2031,2
2032,2
2033,2
2034,1
2035,0
2036,2
2037,2
2038,2
2039,2
2040,1
2041,0
2042,2
2043,2
2044,2
2045,2
2046,2
2047,1
2048,2
2049,2
2050,2
2051,2
2052,2
2053,2
2054,1
2055,2
2056,1
2057,0
2058,2
2059,2
2060,2
2061,2
2062,0
2063,2
2064,1
2065,2
2066,1
2067,2
2068,2
2069,2
2070,2
2071,2
2072,2
2073,2
2074,2
2075,2
2076,2
2077,1
2078,2
2079,2
2080,0
2081,1
2082,0
2083,2
2084,2
2085,1
2086,1
2087,0
2088,1
2089,2
2090,2
2091,2
2092,1
2093,2
2094,1
2095,2
2096,1
2097,2
2098,2
2099,1
2100,1
2101,2
2102,0
2103,0
2104,1
2105,2
2106,2
2107,0
2108,2
2109,2
2110,0
2111,2
2112,2
2113,1
2114,2
2115,1
2116,2
2117,2
2118,1
2119,2
2120,2
2121,2
2122,1
2123,2
2124,1
2125,0
2126,2
2127,2
2128,2
2129,2
2130,0
2131,0
2132,0
2133,2
2134,2
2135,1
2136,2
2137,1
2138,2
2139,2
2140,0
2141,2
2142,2
2143,2
2144,1
2145,2
2146,1
2147,2
2148,2
2149,2
2150,1
2151,2
2152,2
2153,1
2154,2
2155,1
2156,2
2157,2
2158,2
2159,1
2160,1
2161,1
2162,2
2163,2
2164,2
2165,2
2166,0
2167,2
2168,2
2169,0
2170,1
2171,2
2172,1
2173,1
2174,2
2175,2
2176,1
2177,2
2178,2
2179,2
2180,0
2181,1
2182,2
2183,1
2184,1
2185,2
2186,1
2187,2
2188,2
2189,1
2190,1
2191,1
2192,2
2193,2
2194,2
2195,1
2196,2
2197,0
2198,2
2199,2
2200,1
2201,2
2202,2
2203,1
2204,2
2205,1
2206,2
2207,2
2208,2
2209,1
2210,1
2211,1
2212,2
2213,1
2214,2
2215,2
2216,2
2217,1
2218,2
2219,2
2220,2
2221,1
2222,2
2223,2
2224,2
2225,0
2226,2
2227,2
2228,1
2229,2
2230,2
2231,2
2232,2
2233,2
2234,2
2235,2
2236,0
2237,2
2238,1
2239,2
2240,0
2241,2
2242,2
2243,2
2244,2
2245,2
2246,0
2247,2
2248,2
2249,2
2250,1
2251,0
2252,0
2253,2
2254,2
2255,2
2256,2
2257,2
2258,2
2259,0
2260,1
2261,2
2262,2
2263,2
2264,2
2265,0
2266,1
2267,0
2268,2
2269,2
2270,1
2271,2
2272,2
2273,2
2274,1
2275,2
2276,2
2277,2
2278,2
2279,2
2280,1
2281,2
2282,2
2283,0
2284,2
2285,1
2286,2
2287,2
2288,2
2289,2
2290,0
2291,2
2292,1
2293,2
2294,1
2295,2
2296,2
2297,2
2298,2
2299,2
2300,2
2301,2
2302,2
2303,2
2304,2
2305,0
2306,1
2307,2
2308,2
2309,2
2310,2
2311,2
2312,1
2313,2
2314,1
2315,2
2316,2
2317,1
2318,0
2319,1
2320,2
2321,2
2322,2
2323,2
2324,2
2325,0
2326,2
2327,2
2328,2
2329,0
2330,2
2331,1
2332,2
2333,2
2334,2
2335,2
2336,2
2337,2
2338,2
2339,1
2340,2
2341,2
2342,2
2343,2
2344,2
2345,0
2346,2
2347,2
2348,1
2349,0
2350,2
2351,2
2352,2
2353,2
2354,2
2355,2
2356,1
2357,2
2358,0
2359,2
2360,2
2361,2
2362,2
2363,0
2364,2
2365,0
2366,0
2367,2
2368,2
2369,2
2370,2
2371,2
2372,2
2373,2
2374,1
2375,2
2376,2
2377,2
2378,2
2379,2
2380,2
2381,2
2382,0
2383,1
2384,1
2385,1
2386,2
2387,2
2388,2
2389,1
2390,0
2391,0
2392,2
2393,0
2394,2
2395,1
2396,2
2397,2
2398,2
2399,1
2400,2
2401,2
2402,2
2403,2
2404,1
2405,0
2406,1
2407,2
2408,2
2409,2
2410,0
2411,2
2412,1
2413,0
2414,2
2415,2
2416,2
2417,0
2418,1
2419,1
2420,2
2421,1
2422,2
2423,2
2424,2
2425,2
2426,2
2427,1
2428,2
2429,1
2430,0
2431,1
2432,0
2433,2
2434,1
2435,2
2436,2
2437,2
2438,2
2439,2
2440,2
2441,2
2442,0
2443,2
2444,2
2445,1
2446,1
2447,2
2448,0
2449,1
2450,2
2451,1
2452,2
2453,2
2454,2
2455,2
2456,2
2457,2
2458,2
2459,2
2460,2
2461,0
2462,2
2463,2
2464,0
2465,1
2466,2
2467,2
2468,2
2469,2
2470,2
2471,2
2472,2
2473,2
2474,1
2475,1
2476,1
2477,2
2478,2
2479,1
2480,2
2481,1
2482,2
2483,2
2484,0
2485,0
2486,2
2487,2
2488,1
2489,0
2490,2
2491,2
2492,2
2493,2
2494,2
2495,0
2496,2
2497,2
2498,2
2499,2
2500,1
2501,2
2502,1
2503,0
2504,0
2505,2
2506,1
2507,1
2508,2
2509,2
2510,2
2511,2
2512,2
2513,2
2514,1
2515,2
2516,2
2517,2
2518,2
2519,0
2520,2
2521,2
2522,2
2523,1
2524,2
2525,2
2526,2
2527,2
2528,1
2529,0
2530,2
2531,2
2532,2
2533,2
2534,1
2535,2
2536,1
2537,2
2538,2
2539,0
2540,2
2541,1
2542,1
2543,0
2544,2
2545,2
2546,0
2547,2
2548,1
2549,2
2550,2
2551,1
2552,0
2553,2
2554,2
2555,2
2556,2
2557,2
2558,2
2559,2
2560,1
2561,2
2562,2
2563,2
2564,0
2565,2
2566,2
2567,2
2568,0
2569,0
2570,2
2571,2
2572,0
2573,2
2574,2
2575,2
2576,1
2577,2
2578,2
2579,1
2580,1
2581,1
2582,1
2583,2
2584,1
2585,2
2586,0
2587,2
2588,2
2589,2
2590,2
2591,2
2592,0
2593,1
2594,2
2595,0
2596,2
2597,1
2598,1
2599,1
2600,1
2601,2
2602,0
2603,2
2604,1
2605,2
2606,0
2607,2
2608,2
2609,0
2610,2
2611,1
2612,0
2613,0
2614,2
2615,0
2616,2
2617,1
2618,2
2619,2
2620,1
2621,0
2622,0
2623,1
2624,2
2625,2
2626,0
2627,2
2628,2
2629,2
2630,2
2631,2
2632,1
2633,1
2634,0
2635,2
2636,1
2637,0
2638,2
2639,0
2640,1
2641,0
2642,2
2643,2
2644,2
2645,2
2646,2
2647,2
2648,2
2649,1
2650,2
2651,1
2652,1
2653,2
2654,2
2655,1
2656,2
2657,2
2658,1
2659,2
2660,2
2661,2
2662,2
2663,1
2664,2
2665,0
2666,2
2667,2
2668,2
2669,2
2670,2
2671,2
2672,1
2673,1
2674,2
2675,1
2676,2
2677,2
2678,0
2679,2
2680,2
2681,1
2682,0
2683,2
2684,2
2685,1
2686,2
2687,2
2688,2
2689,0
2690,0
2691,2
2692,0
2693,2
2694,2
2695,0
2696,2
2697,1
2698,2
2699,2
2700,2
2701,2
2702,2
2703,1
2704,1
2705,0
2706,2
2707,2
2708,2
2709,2
2710,2
2711,2
2712,1
2713,0
2714,2
2715,2
2716,0
2717,2
2718,0
2719,2
2720,2
2721,2
2722,1
2723,2
2724,1
2725,2
2726,2
2727,2
2728,2
2729,0
2730,2
2731,2
2732,0
2733,2
2734,1
2735,2
2736,0
2737,2
2738,1
2739,2
2740,2
2741,2
2742,1
2743,2
2744,2
2745,2
2746,1
2747,2
2748,2
2749,0
2750,0
2751,1
2752,2
2753,2
2754,1
