Id,y
45324,4
45325,1
45326,2
45327,4
45328,0
45329,2
45330,3
45331,2
45332,3
45333,3
45334,0
45335,1
45336,3
45337,3
45338,0
45339,3
45340,2
45341,2
45342,1
45343,3
45344,0
45345,1
45346,1
45347,2
45348,0
45349,2
45350,4
45351,3
45352,1
45353,1
45354,1
45355,2
45356,4
45357,3
45358,4
45359,2
45360,4
45361,4
45362,0
45363,2
45364,1
45365,2
45366,1
45367,4
45368,1
45369,1
45370,2
45371,3
45372,2
45373,3
45374,2
45375,3
45376,3
45377,3
45378,1
45379,0
45380,3
45381,3
45382,2
45383,1
45384,1
45385,0
45386,1
45387,2
45388,1
45389,1
45390,1
45391,0
45392,3
45393,0
45394,2
45395,3
45396,3
45397,1
45398,3
45399,1
45400,1
45401,2
45402,3
45403,2
45404,4
45405,3
45406,0
45407,1
45408,0
45409,3
45410,1
45411,3
45412,3
45413,2
45414,2
45415,2
45416,3
45417,3
45418,2
45419,2
45420,0
45421,2
45422,3
45423,1
45424,1
45425,0
45426,1
45427,4
45428,3
45429,1
45430,3
45431,4
45432,2
45433,1
45434,1
45435,1
45436,0
45437,3
45438,0
45439,2
45440,2
45441,1
45442,1
45443,1
45444,1
45445,2
45446,1
45447,3
45448,4
45449,2
45450,0
45451,1
45452,1
45453,1
45454,1
45455,3
45456,0
45457,1
45458,2
45459,1
45460,0
45461,2
45462,4
45463,1
45464,1
45465,3
45466,4
45467,3
45468,0
45469,1
45470,3
45471,4
45472,1
45473,1
45474,4
45475,2
45476,3
45477,4
45478,2
45479,2
45480,2
45481,0
45482,1
45483,4
45484,2
45485,3
45486,1
45487,4
45488,0
45489,2
45490,2
45491,4
45492,1
45493,2
45494,3
45495,3
45496,1
45497,4
45498,4
45499,3
45500,3
45501,2
45502,4
45503,0
45504,3
45505,2
45506,3
45507,3
45508,3
45509,1
45510,1
45511,3
45512,2
45513,3
45514,4
45515,0
45516,1
45517,1
45518,3
45519,3
45520,4
45521,0
45522,1
45523,4
45524,3
45525,1
45526,4
45527,0
45528,1
45529,0
45530,1
45531,1
45532,3
45533,1
45534,0
45535,3
45536,2
45537,2
45538,0
45539,1
45540,0
45541,4
45542,1
45543,2
45544,2
45545,4
45546,1
45547,3
45548,1
45549,4
45550,1
45551,1
45552,4
45553,1
45554,1
45555,3
45556,4
45557,2
45558,1
45559,0
45560,2
45561,1
45562,3
45563,1
45564,1
45565,2
45566,3
45567,3
45568,1
45569,0
45570,0
45571,3
45572,0
45573,1
45574,4
45575,1
45576,1
45577,3
45578,0
45579,0
45580,0
45581,1
45582,4
45583,2
45584,4
45585,3
45586,3
45587,3
45588,0
45589,4
45590,3
45591,3
45592,2
45593,2
45594,1
45595,1
45596,1
45597,4
45598,2
45599,0
45600,0
45601,1
45602,1
45603,0
45604,1
45605,1
45606,1
45607,1
45608,3
45609,2
45610,2
45611,3
45612,4
45613,3
45614,1
45615,1
45616,2
45617,1
45618,1
45619,0
45620,2
45621,2
45622,2
45623,1
45624,2
45625,1
45626,1
45627,3
45628,2
45629,1
45630,3
45631,2
45632,1
45633,2
45634,2
45635,0
45636,1
45637,3
45638,1
45639,1
45640,0
45641,2
45642,2
45643,0
45644,1
45645,1
45646,2
45647,1
45648,1
45649,3
45650,3
45651,2
45652,0
45653,0
45654,3
45655,3
45656,3
45657,1
45658,4
45659,1
45660,1
45661,3
45662,3
45663,1
45664,2
45665,1
45666,1
45667,3
45668,3
45669,2
45670,4
45671,1
45672,1
45673,3
45674,3
45675,2
45676,3
45677,3
45678,1
45679,2
45680,3
45681,2
45682,4
45683,2
45684,1
45685,1
45686,1
45687,1
45688,2
45689,2
45690,3
45691,3
45692,2
45693,1
45694,2
45695,1
45696,0
45697,1
45698,3
45699,2
45700,1
45701,3
45702,3
45703,2
45704,1
45705,3
45706,2
45707,1
45708,4
45709,0
45710,0
45711,1
45712,2
45713,0
45714,2
45715,3
45716,1
45717,3
45718,1
45719,2
45720,4
45721,4
45722,1
45723,0
45724,0
45725,0
45726,4
45727,3
45728,1
45729,2
45730,4
45731,4
45732,3
45733,2
45734,2
45735,2
45736,2
45737,0
45738,3
45739,1
45740,0
45741,1
45742,3
45743,1
45744,3
45745,2
45746,3
45747,4
45748,2
45749,1
45750,1
45751,1
45752,4
45753,1
45754,1
45755,2
45756,2
45757,3
45758,1
45759,2
45760,4
45761,1
45762,3
45763,2
45764,3
45765,4
45766,1
45767,1
45768,1
45769,2
45770,0
45771,0
45772,0
45773,0
45774,0
45775,1
45776,3
45777,0
45778,0
45779,1
45780,4
45781,3
45782,1
45783,1
45784,2
45785,0
45786,4
45787,3
45788,3
45789,3
45790,3
45791,1
45792,2
45793,2
45794,3
45795,0
45796,2
45797,1
45798,4
45799,2
45800,0
45801,3
45802,4
45803,0
45804,2
45805,3
45806,3
45807,1
45808,3
45809,4
45810,3
45811,1
45812,1
45813,2
45814,1
45815,1
45816,3
45817,1
45818,1
45819,1
45820,2
45821,4
45822,1
45823,1
45824,2
45825,3
45826,0
45827,2
45828,3
45829,0
45830,2
45831,1
45832,3
45833,1
45834,2
45835,1
45836,0
45837,1
45838,3
45839,2
45840,1
45841,1
45842,3
45843,4
45844,0
45845,2
45846,3
45847,2
45848,1
45849,1
45850,3
45851,4
45852,2
45853,2
45854,1
45855,1
45856,3
45857,4
45858,3
45859,2
45860,1
45861,1
45862,1
45863,2
45864,2
45865,0
45866,0
45867,0
45868,3
45869,2
45870,2
45871,1
45872,1
45873,1
45874,3
45875,2
45876,1
45877,0
45878,4
45879,1
45880,4
45881,4
45882,3
45883,1
45884,2
45885,2
45886,3
45887,3
45888,1
45889,1
45890,3
45891,4
45892,1
45893,1
45894,1
45895,3
45896,4
45897,2
45898,1
45899,2
45900,2
45901,4
45902,1
45903,1
45904,0
45905,1
45906,3
45907,3
45908,4
45909,0
45910,2
45911,2
45912,1
45913,1
45914,3
45915,1
45916,1
45917,4
45918,3
45919,1
45920,2
45921,1
45922,1
45923,0
45924,1
45925,1
45926,4
45927,3
45928,2
45929,1
45930,0
45931,4
45932,2
45933,1
45934,2
45935,2
45936,4
45937,4
45938,1
45939,4
45940,1
45941,0
45942,1
45943,1
45944,3
45945,4
45946,3
45947,3
45948,1
45949,2
45950,2
45951,3
45952,3
45953,1
45954,1
45955,1
45956,3
45957,3
45958,3
45959,2
45960,4
45961,3
45962,3
45963,1
45964,3
45965,3
45966,2
45967,4
45968,2
